User Number,inLyingGroup,attention1,attention2,AttentionChecksPassed,AcademicAtt1,AcademicAtt2,AcademicAttChksPassed,AcademicScore1,AcademicScore2,AcademicScore3,AcademicScore4,AcademicScore5,AcademicScore6,AcademicScore7,AcademicScore8,AcademicScore9,AcademicScore10,AcademicScore11,AcademicScore12,AcademicScore13,AcademicScore14,AcademicScore15,AcademicScore16,AcademicScore17,AcademicScore18,AcademicScore19,AcademicScore20,AcademicScore21,AcademicScore22,AcademicScore23,AcademicScore24,AcademicScore,TotalAcademicScore
140,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,94,0.989583333
141,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,2,4,90,0.96875
142,1,1,3,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-4,4,88,0.958333333
143,1,3,3,2,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,92,0.979166667
144,1,3,3,2,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,4,88,0.958333333
145,1,1,3,1,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,92,0.979166667
146,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,0,2,4,4,4,4,4,4,4,4,88,0.958333333
147,1,3,3,2,4,4,2,2,2,2,2,2,0,2,2,2,2,2,2,4,2,2,2,2,2,2,2,4,2,2,4,52,0.770833333
148,1,3,3,2,4,4,2,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,88,0.958333333
149,1,3,3,2,4,4,2,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,92,0.979166667
150,1,3,3,2,4,4,2,4,2,4,4,2,4,2,2,2,4,4,4,4,4,2,2,2,4,2,2,4,4,2,4,74,0.885416667
151,1,3,3,2,4,4,2,4,2,4,4,2,4,4,4,-4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,80,0.916666667
152,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
153,1,3,3,2,4,4,2,2,-2,0,0,2,-4,0,2,-2,2,-4,2,-2,-2,2,-4,-2,2,2,2,2,2,-4,2,-2,0.489583333
